sec  frames  shot
-22       4  t000
-21       9  t000
-20       9  t000
-19      10  t000
-18      10  t000
-17      10  t000
-16       9  t000
-15      10  t000
-14      10  t000
-13      10  t000
-12     100  t000
-11     125  t000
-10     127  t000
 -9     128  t000
 -8     127  t000
 -7     129  t000
 -6     127  t000
 -5     129  t000
 -4     127  t000
 -3     128  t000
 -2     127  t000
 -1     127  t000
  0     251  t000
  1     127  t000
  2     125  t000
  3     128  t005
  4     128  t005
  5     128  t005
  6     128  t005
  7     128  t005
  8     127  t010
  9     129  t010
 10     127  t010
 11     128  t010
 12     128  t010
 13     129  t015
 14     128  t015
 15     127  t015
 16     129  t015
 17     128  t015
 18     128  t020
 19     129  t020
 20     127  t020
 21     128  t020
 22     128  t020
 23     129  t025
 24     128  t025
 25     127  t025
 26     129  t025
 27     128  t025
 28     128  t030
 29     128  t030
 30     128  t030
 31     128  t030
 32     128  t030
 33     129  t035
 34     128  t035
 35     127  t035
 36     129  t035
 37     128  t035
 38     128  t040
 39     129  t040
 40     127  t040
 41     127  t040
 42     129  t040
 43     128  t045
 44     128  t045
 45     127  t045
 46     128  t045
 47     128  t045
 48     129  t050
 49     126  t050
 50     126  t050
 51     128  t050
 52     129  t050
 53     128  t055
 54     128  t055
 55     128  t055
 56     128  t055
 57     128  t055
 58     128  t060
 59     128  t060
 60     127  t060
 61     128  t060
 62     128  t060
 63     129  t065
 64     128  t065
 65     127  t065
 66     128  t065
 67     128  t065
 68     127  t070
 69     128  t070
 70     128  t070
 71     127  t070
 72     128  t070
 73     128  t075
 74     128  t075
 75     128  t075
 76     128  t075
 77     127  t075
 78     128  t080
 79     128  t080
 80     127  t080
 81     128  t080
 82     129  t080
 83     128  t085
 84     128  t085
 85     126  t085
 86     128  t085
 87     128  t085
 88     128  t090
 89     128  t090
 90     128  t090
 91     127  t090
 92     128  t090
 93     128  t095
 94     128  t095
 95     128  t095
 96     128  t095
 97     128  t095
 98     128  t100
 99     128  t100
100     127  t100
101     121  t100
102      64  t100
