sec  frames  shot
-16       2  t000
-15       0  t000
-14       1  t000
-13       2  t000
-12       4  t000
-11       3  t000
-10       3  t000
 -9       3  t000
 -8       4  t000
 -7       4  t000
 -6       4  t000
 -5       3  t000
 -4       4  t000
 -3       3  t000
 -2       4  t000
 -1       4  t000
  0       8  t000
  1       4  t000
  2       4  t000
  3       4  t005
  4       5  t005
  5       4  t005
  6       4  t005
  7       4  t005
  8       4  t010
  9       4  t010
 10       4  t010
 11       4  t010
 12       4  t010
 13       4  t015
 14       4  t015
 15       4  t015
 16       4  t015
 17       4  t015
 18       5  t020
 19       4  t020
 20       4  t020
 21       4  t020
 22       4  t020
 23       4  t025
 24       4  t025
 25       4  t025
 26       4  t025
 27       4  t025
 28       5  t030
 29       4  t030
 30       4  t030
 31       4  t030
 32       4  t030
 33       5  t035
 34       4  t035
 35       4  t035
 36       4  t035
 37       4  t035
 38       5  t040
 39       4  t040
 40       4  t040
 41       4  t040
 42       4  t040
 43       4  t045
 44       5  t045
 45       4  t045
 46       4  t045
 47       4  t045
 48       4  t050
 49       5  t050
 50       4  t050
 51       4  t050
 52       4  t050
 53       4  t055
 54       5  t055
 55       4  t055
 56       4  t055
 57       4  t055
 58       4  t060
 59       4  t060
 60       5  t060
 61       4  t060
 62       4  t060
 63       4  t065
 64       4  t065
 65       5  t065
 66       4  t065
 67       4  t065
 68       4  t070
 69       4  t070
 70       4  t070
 71       5  t070
 72       4  t070
 73       4  t075
 74       4  t075
 75       4  t075
 76       5  t075
 77       4  t075
 78       4  t080
 79       4  t080
 80       4  t080
 81       5  t080
 82       4  t080
 83       4  t085
 84       4  t085
 85       4  t085
 86       4  t085
 87       5  t085
 88       4  t090
 89       4  t090
 90       4  t090
 91       4  t090
 92       5  t090
 93       4  t095
 94       4  t095
 95       4  t095
 96       4  t095
 97       5  t095
 98       4  t100
 99       4  t100
100       4  t100
101       3  t100
